"id","Location","Public Assistance Participation","Non-Public Assistance Participation","All Households Public Assistance Participation","All Households Non-Public Assistance Participation","states"
70,"0400101 AZ EBT APACHE",42.0,20841.0,10.0,9094.0,"Arizona"
71,"0400301 AZ EBT COCHISE",366.0,20884.0,110.0,10625.0,"Arizona"
72,"0400501 AZ EBT COCONINO",104.0,16720.0,32.0,7725.0,"Arizona"
73,"0400701 AZ EBT GILA",102.0,9428.0,27.0,4591.0,"Arizona"
74,"0400901 AZ EBT GRAHAM",48.0,5375.0,14.0,2525.0,"Arizona"
75,"0401101 AZ EBT GREENLEE",11.0,697.0,3.0,334.0,"Arizona"
76,"0401301 AZ EBT MARICOPA",9684.0,463138.0,2889.0,219551.0,"Arizona"
77,"0401501 AZ EBT MOHAVE",697.0,31184.0,195.0,17358.0,"Arizona"
78,"0401701 AZ EBT NAVAJO",233.0,25268.0,63.0,10922.0,"Arizona"
79,"0401901 AZ EBT PIMA",3624.0,139670.0,1014.0,72044.0,"Arizona"
80,"0402101 AZ EBT PINAL",1205.0,52210.0,305.0,22775.0,"Arizona"
81,"0402301 AZ EBT SANTA CRUZ",146.0,10305.0,44.0,4408.0,"Arizona"
82,"0402501 AZ EBT YAVAPAI",248.0,20066.0,73.0,11175.0,"Arizona"
83,"0402701 AZ EBT YUMA",520.0,39439.0,147.0,16619.0,"Arizona"
84,"0402901 AZ EBT LA PAZ CO DES",44.0,3024.0,12.0,1550.0,"Arizona"
