"id","Location","Public Assistance Participation","Non-Public Assistance Participation","All Households Public Assistance Participation","All Households Non-Public Assistance Participation","states"
162,"0600105 CA EBT ALAMEDA COUNTY DSS",26031.0,111138.0,18202.0,64653.0,"California"
163,"0600302 CA EBT ALPINE COUNTY DSS",7.0,112.0,7.0,54.0,"California"
164,"0600501 CA EBT AMADOR COUNTY DSS",382.0,2254.0,258.0,1291.0,"California"
165,"0600702 CA EBT BUTTE COUNTY DSS",6407.0,22313.0,4319.0,12901.0,"California"
166,"0600901 CA EBT CALAVERAS CO DSW",666.0,4163.0,453.0,2358.0,"California"
167,"0601101 CA EBT COLUSA COUNTY DSW",278.0,1742.0,180.0,854.0,"California"
168,"0601302 CA EBT CONTRA COSTA COUNTY DSS",15896.0,64721.0,10146.0,34820.0,"California"
169,"0601501 CA EBT DEL NORTE CO DSW",1341.0,4114.0,847.0,2234.0,"California"
170,"0601704 CA EBT EL DORADO COUNTY DSS",1931.0,9037.0,1314.0,5537.0,"California"
171,"0601904 CA EBT FRESNO COUNTY DSW",38508.0,166123.0,19615.0,76688.0,"California"
172,"0602102 CA EBT GLENN CO WELFARE DEPT",781.0,2564.0,424.0,1245.0,"California"
173,"0602303 CA EBT HUMBOLDT CO DSW",4189.0,17314.0,2932.0,10693.0,"California"
174,"0602501 CA EBT IMPERIAL CO DSW",8408.0,30353.0,4330.0,13668.0,"California"
175,"0602701 CA EBT INYO COUNTY WELF DEPT",221.0,1701.0,139.0,896.0,"California"
176,"0602902 CA EBT KERN",36473.0,122979.0,18025.0,55766.0,"California"
177,"0603101 CA EBT KINGS COUNTY DPW",4968.0,18775.0,2490.0,8751.0,"California"
178,"0603301 CA EBT LAKE CO DEPT OF SOC SVCS",2648.0,10028.0,1814.0,5795.0,"California"
179,"0603501 CA EBT LASSEN CO DSW",835.0,2367.0,476.0,1287.0,"California"
180,"0603720 CA EBT LOS ANGELES COUNTY DPSS",413052.0,901615.0,287979.0,486934.0,"California"
181,"0603902 CA EBT MADERA CO DSW",5583.0,22382.0,2633.0,9704.0,"California"
182,"0604102 CA EBT MARIN COUNTY DSW",2397.0,10123.0,1648.0,6618.0,"California"
183,"0604301 CA EBT MARIPOSA CO DSW",405.0,1992.0,259.0,1152.0,"California"
184,"0604501 CA EBT MENDOCINO CO WELF DEPT",1924.0,10468.0,1418.0,5789.0,"California"
185,"0604701 CA EBT MERCED CO DPW",10915.0,41206.0,5729.0,18838.0,"California"
186,"0604901 CA EBT MODOC COUNTY DSS",324.0,1021.0,206.0,540.0,"California"
187,"0605101 CA EBT MONO CO WELFARE DEPT",62.0,588.0,41.0,368.0,"California"
188,"0605302 CA EBT MONTEREY CO DSW",5878.0,33831.0,3230.0,16178.0,"California"
189,"0605502 CA EBT NAPA CO WELFARE DEPT",1125.0,5858.0,811.0,3206.0,"California"
190,"0605701 CA EBT NEVADA CO DPSS",1324.0,6608.0,942.0,4224.0,"California"
191,"0605903 CA EBT ORANGE CO DSW",45177.0,201414.0,28052.0,110776.0,"California"
192,"0606101 CA EBT PLACER CO WELFARE DEPT",2727.0,13416.0,1964.0,8259.0,"California"
193,"0606301 CA EBT PLUMAS COUNTY DSS",368.0,1773.0,248.0,1038.0,"California"
194,"0606503 CA EBT RIVERSIDE COUNTY DSS",42907.0,198042.0,24729.0,96811.0,"California"
195,"0606703 CA EBT SACRAMENTO CO DSW",53063.0,166307.0,30828.0,85023.0,"California"
196,"0606902 CA EBT SAN BENITO COUNTY DSS",756.0,4481.0,425.0,2253.0,"California"
197,"0607105 CA EBT SAN BRNDINO CO DPSS AU",62859.0,231056.0,33195.0,109411.0,"California"
198,"0607301 CA EBT SAN DIEGO CO DSS",48607.0,302544.0,30929.0,169278.0,"California"
199,"0607502 CA EBT SAN FRANCISCO COUNTY DSS",4678.0,80820.0,1901.0,59240.0,"California"
200,"0607702 CA EBT SAN JOAQUIN CO HUMAN SVCS AGCY",21820.0,76587.0,12797.0,36575.0,"California"
201,"0607901 CA EBT SAN LUIS OBISPO COUNTY DSS",2840.0,15195.0,1804.0,9496.0,"California"
202,"0608103 CA EBT SAN MATEO COUNTY DSS",3989.0,24826.0,2917.0,13993.0,"California"
203,"0608304 CA EBT SANTA BARBARA CO DSW",6507.0,38128.0,3820.0,21443.0,"California"
204,"0608502 CA EBT SANTA CLARA COUNTY DSS",24439.0,80011.0,17144.0,46272.0,"California"
205,"0608702 CA EBT SANTA CRUZ CO DSW",3958.0,23207.0,2458.0,14374.0,"California"
206,"0608901 CA EBT SHASTA CO DSW",5278.0,17998.0,3661.0,10092.0,"California"
207,"0609101 CA EBT SIERRA CO HUMAN SVCS",53.0,187.0,34.0,135.0,"California"
208,"0609301 CA EBT SISKIYOU CO DSW",1614.0,5747.0,1100.0,3121.0,"California"
209,"0609502 CA EBT SOLANO CO DSW",8130.0,35835.0,5187.0,20473.0,"California"
210,"0609701 CA EBT SONOMA CO DSW",4738.0,26019.0,3241.0,15710.0,"California"
211,"0609902 CA EBT STANISLAUS CO. DSS",15963.0,54070.0,8856.0,27225.0,"California"
212,"0610101 CA EBT SUTTER CO WELF DEPT",2746.0,8793.0,1438.0,4213.0,"California"
213,"0610301 CA EBT TEHAMA CO DSW",2142.0,7403.0,1389.0,3858.0,"California"
214,"0610501 CA EBT TRINITY CO DSW",391.0,1565.0,261.0,952.0,"California"
215,"0610704 CA EBT TULARE COUNTY DSS",21737.0,86197.0,9960.0,38438.0,"California"
216,"0610901 CA EBT TUOLUMNE CO WELF DEPT",846.0,3896.0,667.0,2442.0,"California"
217,"0611101 CA EBT VENTURA CO.",8893.0,54515.0,5568.0,29015.0,"California"
218,"0611301 CA EBT YOLO CO DSW",3363.0,17209.0,2164.0,10688.0,"California"
219,"0611501 CA EBT YUBA CO WELFARE DEPT",3475.0,10919.0,1934.0,5409.0,"California"
