"id","Location","Public Assistance Participation","Non-Public Assistance Participation","All Households Public Assistance Participation","All Households Non-Public Assistance Participation","states"
220,"0800301 CO EBT ALAMOSA CO DSS",370.0,3848.0,244.0,2100.0,"Colorado"
221,"0800701 CO EBT ARCHULETA CO DSS",82.0,1404.0,59.0,691.0,"Colorado"
222,"0800901 CO EBT BACA CO DSS",59.0,631.0,37.0,295.0,"Colorado"
223,"0801101 CO EBT BENT CO DSS",74.0,798.0,48.0,436.0,"Colorado"
224,"0801301 CO EBT BOULDER CO DSS",1244.0,14862.0,783.0,8183.0,"Colorado"
225,"0801501 CO EBT CHAFFEE CO DSS",132.0,1282.0,78.0,797.0,"Colorado"
226,"0801701 CO EBT CHEYENNE CO DSS",8.0,202.0,5.0,99.0,"Colorado"
227,"0801901 CO EBT CLEAR CREEK",32.0,459.0,28.0,306.0,"Colorado"
228,"0802101 CO EBT CONEJOS CO DSS",115.0,1347.0,91.0,668.0,"Colorado"
229,"0802301 CO EBT COSTILLA CO DSS",139.0,1153.0,92.0,660.0,"Colorado"
230,"0802501 CO EBT CROWLEY CO DSS",81.0,795.0,54.0,417.0,"Colorado"
231,"0802701 CO EBT CUSTER CO DSS",28.0,382.0,19.0,231.0,"Colorado"
232,"0802901 CO EBT DELTA CO DSS",192.0,3682.0,149.0,1885.0,"Colorado"
233,"0803102 CO EBT DENVER",6768.0,83502.0,4449.0,45522.0,"Colorado"
234,"0803301 CO EBT DOLORES CO DSS",16.0,196.0,13.0,103.0,"Colorado"
235,"0803501 CO EBT DOUGLAS",343.0,5964.0,229.0,2934.0,"Colorado"
236,"0803701 CO EBT EAGLE CO DSS",67.0,1157.0,35.0,594.0,"Colorado"
237,"0803901 CO EBT ELBERT CO DSS",37.0,773.0,20.0,355.0,"Colorado"
238,"0804101 CO EBT EL PASO CO DSS",4144.0,68444.0,2177.0,34611.0,"Colorado"
239,"0804301 CO EBT FREMONT CO DSS",463.0,6382.0,317.0,3409.0,"Colorado"
240,"0804501 CO EBT GARFIELD CO DSS",266.0,3695.0,145.0,1857.0,"Colorado"
241,"0804701 CO EBT GILPIN",37.0,423.0,20.0,234.0,"Colorado"
242,"0804901 CO EBT GRAND",18.0,417.0,14.0,251.0,"Colorado"
243,"0805101 CO EBT GUNN HINSDALE CO DSS",55.0,958.0,29.0,550.0,"Colorado"
244,"0805301 CO EBT HINSDALE",2.0,14.0,1.0,10.0,"Colorado"
245,"0805501 CO EBT HUERFANO CO DSS",133.0,1557.0,84.0,874.0,"Colorado"
246,"0805701 CO EBT JACKSON",4.0,106.0,3.0,52.0,"Colorado"
247,"0805901 CO EBT JEFFERSON CO DSS",1944.0,28537.0,1287.0,15003.0,"Colorado"
248,"0806101 CO EBT KIOWA CO DSS",9.0,226.0,8.0,103.0,"Colorado"
249,"0806301 CO EBT KIT CARSON CO DSS",38.0,759.0,19.0,351.0,"Colorado"
250,"0806501 CO EBT LAKE CO DSS",25.0,408.0,14.0,210.0,"Colorado"
251,"0806701 CO EBT LA PLATA CO DSS",314.0,3924.0,168.0,2040.0,"Colorado"
252,"0806901 CO EBT LARIMER CO DSS",1592.0,22369.0,857.0,12145.0,"Colorado"
253,"0807101 CO EBT LAS ANIMAS CO DSS",275.0,2867.0,193.0,1606.0,"Colorado"
254,"0807301 CO EBT LINCOLN CO DSS",12.0,612.0,10.0,295.0,"Colorado"
255,"0807501 CO EBT LOGAN CO DSS",132.0,2419.0,110.0,1302.0,"Colorado"
256,"0807701 CO EBT MESA CO DSS",1003.0,17419.0,639.0,8873.0,"Colorado"
257,"0807901 CO EBT MINERAL",6.0,47.0,4.0,36.0,"Colorado"
258,"0808101 CO EBT MOFFAT CO DSS",77.0,1364.0,46.0,688.0,"Colorado"
259,"0808301 CO EBT MONTEZUMA CO DSS",189.0,4298.0,142.0,2050.0,"Colorado"
260,"0808501 CO EBT MONTROSE CO DSS",204.0,4495.0,153.0,2381.0,"Colorado"
261,"0808701 CO EBT MORGAN CO DSS",170.0,2957.0,99.0,1331.0,"Colorado"
262,"0808901 CO EBT OTERO CO DSS",267.0,3936.0,189.0,1975.0,"Colorado"
263,"0809101 CO EBT OURAY CO DSS",15.0,157.0,14.0,102.0,"Colorado"
264,"0809301 CO EBT PARK CO DSS",89.0,1109.0,65.0,612.0,"Colorado"
265,"0809501 CO EBT PHILLIPS CO DSS",33.0,424.0,20.0,204.0,"Colorado"
266,"0809701 CO EBT PITKIN",11.0,213.0,9.0,163.0,"Colorado"
267,"0809901 CO EBT PROWERS CO DSS",229.0,2378.0,132.0,1143.0,"Colorado"
268,"0810101 CO EBT PUEBLO CO DSS",2696.0,36061.0,1658.0,18747.0,"Colorado"
269,"0810301 CO EBT RIO BLANCO CO DSS",50.0,610.0,25.0,274.0,"Colorado"
270,"0810501 CO EBT RIO GRANDE CO DSS",148.0,2044.0,127.0,1047.0,"Colorado"
271,"0810701 CO EBT ROUTT CO DSS",18.0,524.0,12.0,367.0,"Colorado"
272,"0810901 CO EBT SAGUACHE CO DSS",70.0,1142.0,64.0,628.0,"Colorado"
273,"0811101 CO EBT SAN JUAN CO DSS",3.0,43.0,3.0,23.0,"Colorado"
274,"0811301 CO EBT SAN MIGUEL CO DSS",23.0,235.0,11.0,151.0,"Colorado"
275,"0811501 CO EBT SEDGWICK CO DSS",33.0,352.0,18.0,182.0,"Colorado"
276,"0811701 CO EBT SUMMIT CO DSS",36.0,571.0,23.0,379.0,"Colorado"
277,"0811901 CO EBT TELLER CO DSS",115.0,2144.0,74.0,1184.0,"Colorado"
278,"0812101 CO EBT WASHINGTON CO DSS",23.0,478.0,13.0,218.0,"Colorado"
279,"0812301 CO EBT WELD CO DSS",1343.0,27622.0,739.0,12375.0,"Colorado"
280,"0812501 CO EBT YUMA CO DSS",59.0,1123.0,34.0,506.0,"Colorado"
281,"0812701 CO EBT ADAMS CO DSS",2895.0,49159.0,1662.0,22549.0,"Colorado"
282,"0812901 CO EBT ARAPAHO CO. DSS",4076.0,49252.0,2423.0,23118.0,"Colorado"
283,"0813101 CO EBT BROOMFIELD",173.0,2282.0,113.0,1169.0,"Colorado"
