"id","Location","Public Assistance Participation","Non-Public Assistance Participation","All Households Public Assistance Participation","All Households Non-Public Assistance Participation","states"
365,"1302102 GA EBT BIBB COUNTY DFCS",5383.0,34484.0,3402.0,16291.0,"Georgia"
366,"1302301 GA EBT BLECKLEY",243.0,1987.0,133.0,919.0,"Georgia"
367,"1302501 GA EBT BRANTLEY",394.0,3576.0,201.0,1614.0,"Georgia"
368,"1302701 GA EBT BROOKS",454.0,3113.0,272.0,1498.0,"Georgia"
369,"1302901 GA EBT BRYAN CO DFCS",307.0,3287.0,197.0,1457.0,"Georgia"
370,"1303101 GA EBT BULLOCH",1198.0,11493.0,685.0,5354.0,"Georgia"
371,"1303301 GA EBT BURKE",741.0,5001.0,459.0,2334.0,"Georgia"
372,"1303501 GA EBT BUTTS",416.0,3645.0,288.0,1679.0,"Georgia"
373,"1303701 GA EBT CALHOUN CO DFCS",164.0,1162.0,117.0,599.0,"Georgia"
374,"1303901 GA EBT CAMDEN",551.0,5510.0,314.0,2474.0,"Georgia"
375,"1304301 GA EBT CANDLER",283.0,2154.0,165.0,949.0,"Georgia"
376,"1304502 GA EBT CARROLL",1926.0,16121.0,1163.0,7259.0,"Georgia"
377,"1304701 GA EBT CATOOSA",727.0,6907.0,439.0,3049.0,"Georgia"
378,"1304901 GA EBT CHARLTON",230.0,1723.0,143.0,815.0,"Georgia"
379,"1305103 GA EBT CHATHAM",4190.0,40176.0,2845.0,18855.0,"Georgia"
380,"1305301 GA EBT CHATTAHOOCHEE CO DFCS",88.0,599.0,50.0,293.0,"Georgia"
381,"1305501 GA EBT CHATTOGA CO DFCS",638.0,4742.0,400.0,2332.0,"Georgia"
382,"1305701 GA EBT CHEROKEE",1008.0,11804.0,646.0,5071.0,"Georgia"
383,"1305901 GA EBT CLARKE",1949.0,14072.0,1256.0,6862.0,"Georgia"
384,"1306101 GA EBT CLAY CO DFCS",117.0,840.0,69.0,428.0,"Georgia"
385,"1306301 GA EBT CLAYTON CO DFCS",6063.0,65144.0,3342.0,29222.0,"Georgia"
386,"1306501 GA EBT CLINCH CO DFCS",209.0,1325.0,129.0,604.0,"Georgia"
387,"1306702 GA EBT COBB",4846.0,55646.0,2867.0,26458.0,"Georgia"
388,"1306901 GA EBT COFFEE",1009.0,8109.0,575.0,3635.0,"Georgia"
389,"1307101 GA EBT COLQUITT",1363.0,8765.0,844.0,4084.0,"Georgia"
390,"1307301 GA EBT COLUMBIA CO DFCS",813.0,9066.0,455.0,3865.0,"Georgia"
391,"1307501 GA EBT COOK",431.0,3230.0,243.0,1497.0,"Georgia"
392,"1307702 GA EBT COWETA",1267.0,12362.0,802.0,5536.0,"Georgia"
393,"1307901 GA EBT CRAWFORD",232.0,1760.0,158.0,835.0,"Georgia"
394,"1308101 GA EBT CRISP CO FD STAMP OFC",724.0,5135.0,461.0,2479.0,"Georgia"
395,"1308301 GA EBT DADE",185.0,1595.0,114.0,756.0,"Georgia"
396,"1308501 GA EBT DAWSON CO DFCS",198.0,1922.0,128.0,853.0,"Georgia"
397,"1308701 GA EBT DECATUR CO DFCS",867.0,5943.0,520.0,2891.0,"Georgia"
398,"1308903 GA EBT DE KALB",13042.0,112070.0,8243.0,53620.0,"Georgia"
399,"1309105 GA EBT DODGE",575.0,3852.0,374.0,1899.0,"Georgia"
400,"1309301 GA EBT DOOLY",272.0,1970.0,180.0,971.0,"Georgia"
401,"1309501 GA EBT DOUGHERTY",3610.0,24059.0,2242.0,11679.0,"Georgia"
402,"1309701 GA EBT DOUGLAS CO DFCS",1808.0,21512.0,1015.0,9578.0,"Georgia"
403,"1309901 GA EBT EARLY",418.0,2810.0,259.0,1330.0,"Georgia"
404,"1310001 GA EBT ECHOLS",53.0,698.0,28.0,252.0,"Georgia"
405,"1310301 GA EBT EFFINGHAM CO DFCS",499.0,5702.0,294.0,2425.0,"Georgia"
406,"1310501 GA EBT ELBERT",533.0,3390.0,356.0,1684.0,"Georgia"
