"id","Location","Public Assistance Participation","Non-Public Assistance Participation","All Households Public Assistance Participation","All Households Non-Public Assistance Participation","states"
641,"1801901 IN EBT CLARK CO DPW",986.0,7349.0,836.0,3302.0,"Indiana"
642,"1802101 IN EBT CLAY CO DPW",258.0,2397.0,219.0,1031.0,"Indiana"
643,"1802301 IN EBT CLINTON CO DFC",218.0,2771.0,155.0,1104.0,"Indiana"
644,"1802501 IN EBT CRAWFORD CO DFC",122.0,858.0,109.0,335.0,"Indiana"
645,"1802701 IN EBT DAVIESS CO DFC",211.0,2272.0,173.0,959.0,"Indiana"
646,"1802901 IN EBT DEARBORN CO DFC",323.0,2736.0,262.0,1223.0,"Indiana"
647,"1803101 IN EBT DECATUR CO DPW",141.0,1825.0,134.0,754.0,"Indiana"
648,"1803301 IN EBT DEKALB CO DPW",277.0,2535.0,250.0,1066.0,"Indiana"
649,"1803501 IN EBT DELAWARE CO DPW",1508.0,12676.0,1319.0,5703.0,"Indiana"
650,"1803701 IN EBT DUBOIS CO DPW",172.0,1440.0,148.0,616.0,"Indiana"
651,"1803901 IN EBT ELKHART CO DPW",1200.0,12909.0,967.0,5278.0,"Indiana"
652,"1804101 IN EBT FAYETTE CO DPW",481.0,3355.0,413.0,1553.0,"Indiana"
653,"1804301 IN EBT FLOYD CO DPW",697.0,5393.0,552.0,2397.0,"Indiana"
654,"1804501 IN EBT FOUNTAIN CO DPW",106.0,1229.0,95.0,525.0,"Indiana"
655,"1804701 IN EBT FRANKLIN CO DPW",129.0,1335.0,112.0,548.0,"Indiana"
656,"1804901 IN EBT FULTON CO DPW",155.0,1551.0,138.0,636.0,"Indiana"
657,"1805101 IN EBT GIBSON CO DPW",183.0,1978.0,157.0,861.0,"Indiana"
658,"1805301 IN EBT GRANT CO DFC",977.0,8890.0,875.0,3902.0,"Indiana"
659,"1805501 IN EBT GREENE CO DPW",329.0,2988.0,280.0,1280.0,"Indiana"
660,"1805701 IN EBT HAMILTON CO DPW",650.0,8018.0,515.0,3234.0,"Indiana"
661,"1805901 IN EBT HANCOCK CO DPW",279.0,3185.0,242.0,1423.0,"Indiana"
662,"1806101 IN EBT HARRISON CO DPW",237.0,2298.0,206.0,961.0,"Indiana"
663,"1806301 IN EBT HENDRICKS CO DPW",428.0,5255.0,367.0,2242.0,"Indiana"
664,"1806501 IN EBT HENRY CO DPW",513.0,4479.0,459.0,2079.0,"Indiana"
665,"1806701 IN EBT HOWARD CO DPW",1180.0,9245.0,972.0,4008.0,"Indiana"
666,"1806901 IN EBT HUNTINGTON CO DPW",244.0,2473.0,213.0,1102.0,"Indiana"
667,"1807101 IN EBT JACKSON CO DPW",356.0,3060.0,315.0,1344.0,"Indiana"
668,"1807301 IN EBT JASPER CO DPW",232.0,2302.0,193.0,935.0,"Indiana"
669,"1807501 IN EBT JAY CO DPW",179.0,1652.0,150.0,708.0,"Indiana"
670,"1807701 IN EBT JEFFERSON CO DPW",297.0,2482.0,256.0,1131.0,"Indiana"
671,"1807901 IN EBT JENNINGS CO DPW",258.0,1689.0,230.0,711.0,"Indiana"
672,"1808101 IN EBT JOHNSON CO DPW",626.0,9714.0,533.0,3885.0,"Indiana"
673,"1808301 IN EBT KNOX CO DPW",471.0,3685.0,380.0,1585.0,"Indiana"
674,"1808501 IN EBT KOSCIUSKO CO DPW",302.0,4402.0,256.0,1773.0,"Indiana"
675,"1808701 IN EBT LAGRANGE CO DPW",146.0,1259.0,109.0,514.0,"Indiana"
676,"1808901 IN EBT LAKE CO DPW",6425.0,57268.0,5189.0,24616.0,"Indiana"
677,"1809101 IN EBT LA PORTE CO DPW",1141.0,11919.0,949.0,4984.0,"Indiana"
678,"1809301 IN EBT LAWRENCE CO DPW",391.0,3441.0,352.0,1472.0,"Indiana"
679,"1809501 IN EBT MADISON CO DPW",1630.0,15198.0,1394.0,6972.0,"Indiana"
680,"1809701 IN EBT MARION CO DPW",12833.0,129146.0,10494.0,56377.0,"Indiana"
681,"1809901 IN EBT MARSHALL CO DPW",281.0,2380.0,239.0,1009.0,"Indiana"
682,"1810101 IN EBT MARTIN CO DPW",95.0,832.0,84.0,368.0,"Indiana"
683,"1810301 IN EBT MIAMI CO DPW",338.0,3717.0,275.0,1486.0,"Indiana"
684,"1810501 IN EBT MONROE COUNTY DPW",862.0,7113.0,750.0,3507.0,"Indiana"
685,"1810701 IN EBT MONTGOMERY COUNTY DFC",289.0,2828.0,244.0,1221.0,"Indiana"
686,"1810901 IN EBT MORGAN CO DPW",457.0,4856.0,420.0,2168.0,"Indiana"
687,"1811101 IN EBT NEWTON CO DPW",86.0,1218.0,73.0,492.0,"Indiana"
688,"1811301 IN EBT NOBLE CO DPW",240.0,2133.0,204.0,878.0,"Indiana"
689,"1811501 IN EBT OHIO CO DPW",41.0,285.0,30.0,130.0,"Indiana"
690,"1811701 IN EBT ORANGE CO DPW",214.0,1717.0,184.0,748.0,"Indiana"
691,"1811901 IN EBT OWEN CO DPW",168.0,1835.0,148.0,782.0,"Indiana"
692,"1812101 IN EBT PARKE CO DPW",161.0,1639.0,127.0,670.0,"Indiana"
693,"1812301 IN EBT PERRY CO DPW",179.0,1465.0,141.0,630.0,"Indiana"
694,"1812501 IN EBT PIKE CO DPW",130.0,1298.0,113.0,550.0,"Indiana"
695,"1812701 IN EBT PORTER CO DPW",932.0,8782.0,788.0,3943.0,"Indiana"
696,"1812901 IN EBT POSEY CO DPW",182.0,1645.0,141.0,727.0,"Indiana"
697,"1813101 IN EBT PULASKI CO DFC",91.0,965.0,79.0,409.0,"Indiana"
