"id","Location","Public Assistance Participation","Non-Public Assistance Participation","All Households Public Assistance Participation","All Households Non-Public Assistance Participation","states"
737,"1902701 IA EBT CARROLL CO DHS",174.0,1196.0,124.0,565.0,"Iowa"
738,"1902901 IA EBT CASS CO DHS",154.0,1191.0,125.0,557.0,"Iowa"
739,"1903101 IA EBT CEDAR CO DHS",81.0,816.0,65.0,360.0,"Iowa"
740,"1903301 IA EBT CERRO GORDO CO DHS",514.0,3553.0,409.0,1751.0,"Iowa"
741,"1903501 IA EBT CHEROKEE CO DHS",78.0,572.0,62.0,268.0,"Iowa"
742,"1903701 IA EBT CHICKASAW CO DHS",61.0,513.0,50.0,228.0,"Iowa"
743,"1903901 IA EBT CLARKE CO DHS",135.0,841.0,89.0,371.0,"Iowa"
744,"1904101 IA EBT CLAY CO DHS",141.0,1130.0,104.0,529.0,"Iowa"
745,"1904301 IA EBT CLAYTON CO DHS",130.0,815.0,109.0,376.0,"Iowa"
746,"1904501 IA EBT CLINTON CO DHS",857.0,4981.0,636.0,2343.0,"Iowa"
747,"1904701 IA EBT CRAWFORD CO DHS",140.0,1182.0,103.0,497.0,"Iowa"
748,"1904901 IA EBT DALLAS CO DHS",242.0,2524.0,190.0,1068.0,"Iowa"
749,"1905101 IA EBT DAVIS CO DHS",58.0,438.0,46.0,195.0,"Iowa"
750,"1905301 IA EBT DECATUR CO DHS",121.0,663.0,90.0,320.0,"Iowa"
751,"1905501 IA EBT DELAWARE CO DHS",148.0,815.0,117.0,372.0,"Iowa"
752,"1905701 IA EBT DES MOINES CO DHS",795.0,4798.0,565.0,2196.0,"Iowa"
753,"1905901 IA EBT DICKINSON CO DHS",98.0,706.0,88.0,369.0,"Iowa"
754,"1906101 IA EBT DUBUQUE CO DHS",1119.0,6749.0,785.0,3059.0,"Iowa"
755,"1906301 IA EBT EMMET CO DHS",71.0,669.0,53.0,303.0,"Iowa"
756,"1906501 IA EBT FAYETTE CO DHS",343.0,1718.0,251.0,775.0,"Iowa"
