"id","Location","Public Assistance Participation","Non-Public Assistance Participation","All Households Public Assistance Participation","All Households Non-Public Assistance Participation","states"
959,"2106301 KY EBT ELLIOTT",47.0,1465.0,13.0,674.0,"Kentucky"
960,"2106501 KY EBT ESTILL",19.0,2955.0,6.0,1574.0,"Kentucky"
961,"2106703 KY EBT FAYETTE",343.0,29131.0,122.0,14054.0,"Kentucky"
962,"2106901 KY EBT FLEMING",19.0,2310.0,6.0,1066.0,"Kentucky"
963,"2107101 KY EBT FLOYD",139.0,9367.0,72.0,4463.0,"Kentucky"
964,"2107301 KY EBT FRANKLIN",26.0,5381.0,10.0,2549.0,"Kentucky"
965,"2107501 KY EBT FULTON",27.0,1398.0,11.0,712.0,"Kentucky"
966,"2107701 KY EBT GALLATIN",2.0,802.0,1.0,335.0,"Kentucky"
967,"2107901 KY EBT GARRARD",32.0,2228.0,12.0,1006.0,"Kentucky"
968,"2108101 KY EBT GRANT",11.0,3130.0,4.0,1275.0,"Kentucky"
969,"2108301 KY EBT GRAVES",24.0,4753.0,14.0,2126.0,"Kentucky"
970,"2108501 KY EBT GRAYSON",17.0,3781.0,7.0,1792.0,"Kentucky"
971,"2108701 KY EBT GREEN",8.0,1615.0,4.0,746.0,"Kentucky"
972,"2108901 KY EBT GREENUP",27.0,4504.0,12.0,2026.0,"Kentucky"
973,"2109101 KY EBT HANCOCK",7.0,851.0,2.0,360.0,"Kentucky"
974,"2109301 KY EBT HARDIN",67.0,10616.0,28.0,4943.0,"Kentucky"
975,"2109501 KY EBT HARLAN",242.0,7773.0,140.0,3750.0,"Kentucky"
976,"2109701 KY EBT HARRISON",10.0,2239.0,4.0,1021.0,"Kentucky"
977,"2109901 KY EBT HART",16.0,2940.0,6.0,1355.0,"Kentucky"
978,"2110101 KY EBT HENDERSON",62.0,5613.0,23.0,2569.0,"Kentucky"
979,"2110301 KY EBT HENRY",2.0,1618.0,1.0,705.0,"Kentucky"
980,"2110501 KY EBT HICKMAN",2.0,566.0,1.0,284.0,"Kentucky"
981,"2110701 KY EBT HOPKINS",96.0,6314.0,32.0,2904.0,"Kentucky"
982,"2110901 KY EBT JACKSON",17.0,3407.0,9.0,1616.0,"Kentucky"
983,"2111103 KY EBT JEFFERSON",1266.0,89589.0,485.0,42726.0,"Kentucky"
984,"2111301 KY EBT JESSAMINE",52.0,5661.0,16.0,2528.0,"Kentucky"
